abstract,authors,n_citation,references,title,venue,year,id
"Recommender systems (RS) so far have been applied to many fields of e-commerce in order to assist users in finding the products that best meet their preferences. However, while the application of RS to the search for objects is well established, this is not the case for the search for subjects. This is astonishing as a growing number of people make personal and professional information digitally available to others by managing profiles in CV databases, social networking platforms and other online services. In order to address this new field of application for RS, we integrate own prior research into a unified multilayer framework supporting the matching of individuals for recruitment and team staffing processes. By this means we enhance RS research and make a next step towards the development of empirically and theoretically grounded decision support for the human resources function",['Tobias Keim'],50,"['0a555378-4691-4942-aef5-5b7a08a8e580', '0ad38f3e-8131-4287-9e62-2b2ae77f47f7', '312e54ca-e7e9-4129-99f4-36f3aeff827e', '3b35cb04-1593-45d1-be1b-f60d25ae4b46', '3cf667e4-b285-48e6-9816-085ce9c56f8c', '3f8e14d5-4655-4c61-8636-99eb5cc99411', '41350086-4320-45bb-a93c-be68975bfff5', '416c04e7-2819-4a8f-8688-34f476ff0d25', '470277f7-3dcf-43e8-bbc5-33b87ea55b6a', '48632bf4-3e9f-4e98-b8f6-c08aaf7f2b58', '6d93c064-f9e3-4fc0-8758-342a52a3f3c4', '7442998c-f646-4c83-b5f7-081e60208c1f', '83c4a993-bdaa-4b08-83a0-bfe6d69387ed', '84091ff6-5edd-4dd3-9201-1e391b0d9cc7', '8cb1e099-d43a-4bd0-a6dc-cb8b04be9d9d', '8fb19592-ccce-4deb-a158-45dd7bba6d5a', '8fda5d41-ef91-4e72-848f-7da042d1f9aa', '9863baf6-d69f-495a-8d5a-71442adea84e', '9ae0142d-b12f-42b1-ac48-d655fdec233f', '9f9c74c4-8573-48b7-bc6c-208f83057563', 'a42c3e7e-7ab1-41cc-8e19-dacfd0d97335', 'a814fda8-4ce4-4a1e-9ced-b665a9b554b4', 'b3321db8-4600-4969-ae23-336c36669dae', 'd1b7af5f-fc77-4a27-96d9-f6064fdcf7ae', 'd9fbca5b-bf52-4be7-94ed-22c88aa765d4', 'e1ea12ed-ef7b-4162-b4d4-aaae4151e608', 'feddae21-3c05-4743-80fa-b8e101f1b93f']",Extending the Applicability of Recommender Systems: A Multilayer Framework for Matching Human Resources,hawaii international conference on system sciences,2007,4afe0885-2ee7-4e5c-bace-4e146322ed27
This paper describes a concept to support scalable multicast communications for small audio/video conferencing groups on the Internet. The solution presented in this paper is based on extensions of IPv6 and the session description protocol (SDP). A goal of the concept called multicast for small conferences (MSC) is the smooth deployment in the Internet.,"['Torsten Braun', 'Linqing Liu']",50,['55b62670-744c-400c-a8b8-c1f6d7920cab'],Multicast for small conferences,international symposium on computers and communications,2001,4afe1678-789b-43e9-b5d0-b1593d180598
This paper shows how to use the transformation of Paterson and Hewitt to improve the memory and operations used in a pointer algorithm. That transformation scheme normally is only of theoretical interest because of the inefficient performance of the transformed function. However we present a method how it can be used to decrease the amount of selective updates in memory while preserving the original runtime performance. This leads to a general transformation framework for the derivation of a class of pointer algorithms.,['Thorsten Ehm'],50,"['0278ccc8-b64a-4d37-b51d-3337288266e0', '3c500b4d-5fd3-4b10-a9d4-728963ab0b4b', '5474b19e-989f-444f-aa21-397d8b704bc7', '6326f76e-9eff-47c6-9479-0d0198fe97d8', '79b41779-f27b-4009-b682-91b2a15d9d43', '87d340b8-8449-4fed-b93a-92d3aeb46f59', '903a10d8-597f-4278-b107-e0aaa51cb17d', 'e09b42bd-b4b3-4817-ae97-145c100bc40f']",Transformational Construction of Correct Pointer Algorithms,Lecture Notes in Computer Science,2001,4afe2442-48d4-46ad-acb1-1216cc04fb8a
"The presented approach addresses the problem of query and persistent query (subscription) resolution, taking into consideration distribution across multi-domains, network infrastructure and content management. This approach is particularly suitable for information-centric and cloud computing applications based around a mobile-device infrastructure.","['Sergey Boldyrev', 'Ian Justin Oliver', 'Ronald Brown', 'Juha-Matti Tuupola', 'Arto Palin', 'Antti Lappeteläinen']",8,"['7384b45b-8c3b-4d1e-a4c1-6d5559a05722', 'b86d30bf-7746-49e3-8241-902087becc49']",Network and content aware information management,,2009,4afe2809-6168-4e9c-bbef-62adcb1a590c
"Outsourcing of software development tasks has become a major issue for large software enterprises over the last decades. Nowadays, small and medium-sized enterprises (SMEs) follow this trend and outsource parts of their software development as well. However, most of the existing literature deals with large enterprises whereas the situation of SMEs is being neglected. Especially sourcing decisions and the organizational as well as operational setup may differ between large enterprises and SMEs. We choose an exploratory multiple-case study approach focusing on the German software market in order to shed light on these aspects of the sourcing behavior of SMEs. This paper addresses three complementing research questions. Besides the question of which phases of the software development process qualify for outsourcing, we explore the organizational setup of SMEs' outsourcing scenarios. In addition, we seek to find out which characteristics a software component has to fulfill in order to qualify for outsourcing.","['Tommi Kramer', 'Lars Klimpke', 'Armin Heinzl']",0,"['1016a61c-a188-408a-9d65-c415e2521fe0', '1293e572-ef57-41a3-8fc2-a000455f542c', '1656206d-2d20-4704-adc6-38371370ef60', '3aeb2705-2ac1-49c5-8cfc-fa161b00920e', '3ddf8245-810b-4404-881d-921589dd4e42', '4220fddb-5daa-496d-8980-3a97f7a18720', '4e5b728a-f4fd-43d1-bdc9-9dff584dbdcd', '55b86252-b20e-4e1a-a41d-5658dd9bef0f', '5827c8e8-a4c3-4eb9-83a0-1df665ed003b', '5a1d1ae4-b359-45d9-8c21-50cbfa5e2a78', '6efed895-54b5-4ade-9a13-6ac63bacdbd8', '8529a0cd-9bb0-4f4e-a8b9-4de3881c9fde', '859c303d-cd23-4ce0-80bb-ecaffbdfdb5c', '94b927f3-b3c9-4799-aa8a-4aa0d6e8b7c8', '987e7c67-0a82-4890-8467-2d2a9c75ab47', 'c6fc9cc1-67c7-4f64-a4cc-a1671f45d9f5', 'd7077f46-de7d-4cee-a6f5-402b8d9e4e3a', 'dd22d555-c9af-4e02-a2bc-ef7557916320', 'de7826c3-df33-490e-bd1b-64b68c0c5084', 'e6f9e117-195c-4075-b6ba-7089420fa249', 'f8acc004-58e4-4de0-8ced-a133925b6d44', 'feac433b-2650-4044-b83c-ca4689fa8674']",Outsourcing Decisions of Small and Medium-Sized Enterprises: A Multiple-Case Study Approach in the German Software Industry,hawaii international conference on system sciences,2013,4afe2bea-f5ce-48bc-b99c-116c56b45f5d
"In this paper, a new sparse approximation technique is proposed for incremental power grid analysis. Our proposed method is motivated by the observation that when a power grid network is locally updated during circuit design, its response changes locally and, hence, the incremental ""change"" of the power grid voltage is almost zero at many internal nodes, resulting in a unique sparse pattern. An efficient Orthogonal Matching Pursuit (OMP) algorithm is adopted to solve the proposed sparse approximation problem. In addition, several numerical techniques are proposed to improve the numerical stability of the proposed solver, while simultaneously maintaining its high efficiency. Several industrial circuit examples demonstrate that when applied to incremental power grid analysis, our proposed approach achieves up to 130× runtime speed-up over the traditional Algebraic Multi-Grid (AMG) method, without surrendering any accuracy.","['Pei Sun', 'Xin Li', 'Ming Yuan Ting']",50,"['0d8b2812-8029-421c-a0dd-0555a8fa4267', '12074b52-351b-4551-8c13-c3ebbcab55b9', '17f1d08a-c5a4-4d9f-965d-542960f1993f', '2d9ebb75-6325-4cc5-974b-543b6be401d1', '311494ca-6ce1-480e-957d-9396a9da649c', '41d3b775-b602-4345-ab99-2282b8b25b3e', '69b9ef96-11d5-49b0-9ae3-492763e02ca8', '737cd935-b5b5-4744-b3c7-63ff5e8b7999', '770637eb-4539-4628-a8ec-c2c7a37fdc43', '8227abbf-2657-453f-a11a-8d85d211308d', '9e0e0e80-8005-492c-9f9a-2ae9f1fe1bb2', 'a1659e9b-5dae-45ee-87f4-070213c4ab0c', 'be6b1ae3-0144-41f4-9215-864332bf1f53', 'd4a27a14-b4b5-41c0-84ee-6338d98ffa8a', 'ead23896-e16b-46cf-9e33-6009d89da910', 'effff51b-366f-4c08-a69e-10164409201c', 'f4233e6f-6365-46b5-8021-dfebf3a5e9f3', 'f56b877b-4060-4754-b303-e8140968544c']",Efficient incremental analysis of on-chip power grid via sparse approximation,design automation conference,2011,4afe2d4c-e2ff-4f33-8ff4-6fc9bd406b6a
"In this paper, we present a high-level graphical language to develop pervasive applications based on a unique interface design. The language supports a wide range of programming constructs. Its graphical notation is based on the LCARS design, which is appealing to different target groups, based on their specific interests and requirements. We show that users can easily create pervasive applications using an LCARS-based user interface. The first step is to describe the technical context in which the application will execute. Based on this technical context, the UI offers a context-specific set of visual primitives. By composing these visual primitives on the screen, the user can specify the behavior of the application.","['Andreas Heil', 'Iman Moradi', 'Torben Weis']",3,"['83726951-6d9d-4ca7-9984-2d45575e96e1', 'c42194e2-315d-42af-9133-d50facebe139']",LCARS: the next generation programming context,advanced visual interfaces,2006,4afe40c3-e678-4257-a1a6-5088f029b667
"Local part-based human detectors are capable of handling partial occlusions efficiently and modeling shape articulations flexibly, while global shape template-based human detectors are capable of detecting and segmenting human shapes simultaneously. We describe a Bayesian approach to human detection and segmentation combining local part-based and global template-based schemes. The approach relies on the key ideas of matching a part-template tree to images hierarchically to generate a reliable set of detection hypotheses and optimizing it under a Bayesian MAP framework through global likelihood re-evaluation and fine occlusion analysis. In addition to detection, our approach is able to obtain human shapes and poses simultaneously. We applied the approach to human detection and segmentation in crowded scenes with and without background subtraction. Experimental results show that our approach achieves good performance on images and video sequences with severe occlusion.","['Zhe Lin', 'Larry S. Davis', 'David S. Doermann', 'Daniel DeMenthon']",203,"['0289a1a7-579b-42a8-8795-45bb59850e67', '05c99d31-32c1-431d-99ce-0dfcd6ca805c', '0839460e-4e25-4fa3-9071-eb168b992716', '1f272a15-443e-4fbb-b983-d7ae9d9bb54f', '357cb350-4082-4a12-87b8-9e78786c62d7', '47b9294c-b421-4574-b69d-48944b5bb098', '6421b691-4ea2-4b53-9705-64cd5ca65d7d', '8166583f-5592-4018-8ed3-32c23ffb9356', '84ae5bca-8277-45b9-83cb-d8873d8c134b', '9865c15a-f4e9-4b5f-a53d-319b31aaf8a2', 'a96a19b9-2924-4231-9da7-ad1860d23480', 'b16e175c-3123-4d98-a83a-eabffe166cb0', 'cb66e49d-077b-4adf-873c-2bc39f78fca6', 'd918df21-5564-4ba4-8ec0-0b5f448371ac', 'dd83785a-dd19-41e3-9b25-ebabbd48d336', 'f0dc4b5a-c1be-4663-8275-174222a8a239', 'f3959783-a9aa-48a2-9fcc-978879de365e']",Hierarchical Part-Template Matching for Human Detection and Segmentation,international conference on computer vision,2007,4afe4481-1694-4147-ac59-13d2ad6bfdac
"Abstract#R##N##R##N#While technology has the potential to create opportunities for transformative learning in higher education, it is often used to merely reinforce didactic teaching that aims to control access to expert knowledge. Instead, educators should consider using technology to enhance communication and provide richer, more meaningful platforms for the social construction of knowledge. By using technology to engage in shared learning experiences that extend beyond the walls of the classroom, we can create opportunities to develop the patterns of thinking that students need to participate in complex, real world situations. We used authentic learning as a framework to guide the implementation of a case-based, blended module in a South African physiotherapy department. Google Drive was used as a collaborative online authoring environment in which small groups of students used clinical cases to create their own content, guided by a team of facilitators. This paper describes an innovative approach to clinical education using authentic learning as a guiding framework, and Google Drive as an implementation platform. We believe that this approach led to the transformation of student learning practices, altered power relationships in the classroom and facilitated the development of critical attitudes towards knowledge and authority.","['Michael Rowe', 'Vivienne Bozalek', 'Jose M. Frantz']",4,[],Using Google Drive to facilitate a blended approach to authentic learning,British Journal of Educational Technology,2013,4afe452c-d28a-471f-bb65-bca831c0b448
"There has been an increasing interest in using star topologies in field-bus communications, e.g., in Time Triggered Protocol for SAE classC applications (TTP/C), FlexRay, or controller area network (CAN), due to increased fault resilience and potential error-containment advantages. In this context, an innovative CAN-compliant star topology, CANcentrate, has been developed, whose hub includes enhanced fault-treatment mechanisms. However, despite this interest toward stars, it is still necessary to quantify their real dependability benefits. For this purpose and for the particular case of CAN, this paper presents models for the dependability features of CAN and CANcentrate using Stochastic Activity Networks (SANs). It quantitatively compares their reliability and error-containment capabilities under permanent hardware faults. These models rely on assumptions that ensure that results are not biased toward CANcentrate, which, in some cases, is too detrimental for it. Thus, despite not reflecting the full CANcentrate potential, results quantitatively confirm the improvement of error-containment it achieves over CAN. Additionally, the way in which the nodes' ability to contain their own errors affects the relevance of using a star topology has been quantified. Although this paper refers to the case of CAN, conclusions regarding the justification of using a star topology depending on this ability can be extrapolated to other field-bus technologies.","['Manuel Barranco', 'Julian Proenza', 'Luis Almeida']",50,"['058360f3-2537-440c-afd5-2091ef1a9fb8', '0d39dbe9-a2ed-4755-ba75-b43655552eba', '0f0dafa1-65bd-4cfb-b127-110abcd53aa0', '117b123e-12dd-4786-8f34-0298c1b472bc', '18939c79-3133-489f-8187-ff47e874a3d2', '1e070d65-fbea-49d1-96b7-8d8b4bb2273b', '1e6ddd81-536e-4719-94b6-81e49d334997', '250ac8cf-7f81-4e2b-82d6-5699fc66d668', '35b2504e-60ce-4228-9368-81643f3cecfe', '44736d68-e24f-45bb-9300-ff65f9ca2723', '6280466d-0561-4fb8-98ca-8c12abe0a7dd', '68692e57-a453-4db4-9c94-61a772a6b737', '68fc74f7-2be5-4b65-99ed-ea0dcfd0dacf', '7284d817-a7fc-4e11-9a4a-dc7eed094ec0', '88800157-320d-4148-8cc9-13c44278539f', 'a51f21c0-33ef-49f2-9c73-8ec73d504363', 'd2fd3b93-55fb-45e4-8f6d-e3d79b05bc11', 'dc0b9ac5-b710-457e-8b54-565935c5632a', 'fd6078d0-a63a-4ee1-b8f4-1a9a40a075df']",Quantitative Comparison of the Error-Containment Capabilities of a Bus and a Star Topology in CAN Networks,IEEE Transactions on Industrial Electronics,2011,4afe51ea-47eb-4a53-ab59-984d43722838
"Analysis and design of a single-stage  LLC  resonant converter are proposed. A single-stage converter uses only one control signal to drive two power converters, a power factor corrector (PFC) converter and a dc/dc converter, for reducing the cost of the system. However, this simplicity induces power imbalance between two converters, and then, the bus voltage between two converters drifts and becomes unpredictable. To ensure that the bus capacitor voltage can be kept in a tolerable region, the characteristics of a PFC converter and an  LLC  tank are investigated, and then, a design procedure is proposed correspondingly. Finally, a single-stage  LLC  resonant converter is implemented to verify the analysis.","['Shih-Yu Chen', 'Zhu Rong Li', 'Chern-Lin Chen']",8,"['52c2019e-bad5-4516-8f3f-4539836e94d7', '6e6f291a-7907-4d00-bdfa-a20e2840cb0c', 'be37e6a8-0929-43d1-bb2b-3a28d68d78b6', 'debb632d-53d0-4d4a-999b-5f5ac709324b', 'ecd4babd-5431-46bb-8625-5b9874fd083d', 'f0b6c869-dff1-49b5-99d2-188a2d0e3199']",Analysis and Design of Single-Stage AC/DC $LLC$ Resonant Converter,IEEE Transactions on Industrial Electronics,2012,4afe9674-4105-448d-b599-12403d2888f5
"This paper investigates the architecture and design of agent-based sensor networks for petroleum offshore monitoring. A few challenges to monitor the reservoir, wellbore and wellhead are identified. Moreover, the necessary components for a reliable, precise, and accurate monitoring are suggested. The paper describes the architecture of the routing agent and discusses the cross layer optimization issues for query processing. The paper also provides the software design and components for a web-based continuous monitoring application.","['Sajid Hussain', 'Md. Rafiqul Islam', 'Elhadi M. Shakshuki', 'M. S. Zaman']",6,"['23dd7fc0-1ebd-43ce-ab3e-43896512c209', '9e063b41-0ada-4db8-8846-6e5153a0de55', 'a8d141a3-31a8-40ee-81b7-6273e4343b9c', 'e88754be-0e60-4b1e-9486-ee5eb393058c', 'eb361ab1-67b1-440d-ab62-7e04252c9c23', 'efa04de8-fec3-4c73-8031-5b7990b88e57', 'efdb41f4-8edc-48b0-870e-ea9343a7c08d']",Agent-Based Petroleum Offshore Monitoring Using Sensor Networks,database and expert systems applications,2006,4afe9e37-7578-44ff-821a-f6989682680e
"This article carries on a new method which can improve quality and speed of 3D visualization. This method, first based on dynamic threshold method, divides region of interest ROI from the original image; then extends bounding box algorithm to 3D space, and combines it with ray casting algorithm. We validate the validity and robustness of this method in 3D reconstruction, experimenting with 3D lung parenchyma's image, vascular image and bones' image, which used to be 2D medical images about chest CT.","['Huiyan Jiang', 'Yudong Zhao', 'Ning Li']",50,[],The Study of 3D Reconstruction Method Based on Dynamic Threshold Method and Improved Ray Casting Algorithm,intelligent information hiding and multimedia signal processing,2008,4afe9fc0-269b-43df-8662-1d3dfacbc4be
"The presentation of learning materials in Adaptive Education Hypermedia is influenced by several factors such as learning style, background knowledge and cultural background, to name a few. In this paper, we introduce the notion of the CAE-L Ontology for modelling stereotype cultural artefacts in adaptive education. The Ontology design is based on the user study gathered from the respondents to the CAE questionnaire which determines the cultural artefacts that influence a learner?s behaviour within an educational environment. We present a brief overview of the implementation and discuss the stereotype presentation styles from three different countries, namely China, Ireland and UK.","['Krishna Chandramouli', 'Craig D. Stewart', 'Tim J. Brailsford', 'Ebroul Izquierdo']",50,"['1ef201f8-0303-4468-a2f1-ccbe3f405114', '32fc6daf-50ee-40d7-bf8d-3a76c5e69c24', '60f6e2a9-ab31-4ee6-8848-47f2f0c6dd04', '61bd41bd-1a20-46d5-9c81-184f38532392', '8feb230f-4f9a-4357-b3e6-6b4723cdc9e6']",CAE-L: An Ontology Modelling Cultural Behaviour in Adaptive Education,,2008,4afea6d9-b242-4396-9098-6e3896dc8176
"An aircraft that is capable of continuous flight offers a new level of autonomous capacity for unmanned aerial vehicles. We present an overview of the components and concepts of a small scale unmanned aircraft that is capable of sustaining powered flight without a theoretical time limit. We then propose metrics that quantify the robustness of continuous flight achieved and optimization criteria to maximize these metrics. Finally, the criteria are applied to a fabricated and flight tested small scale high efficiency aircraft prototype to determine the optimal battery and photovoltaic array mass for robust continuous flight.","['Scott Morton', 'Luke Scharber', 'Nikolaos Papanikolopoulos']",14,"['3eb81fce-7e25-45d3-b471-f73f45506a96', '4282def6-3468-4346-b568-75e1dccdd5c1', '7f8c9fa2-8974-440d-a653-720d6662f228', 'b0931608-c654-49ff-ab1a-9babb3753df9', 'b4e99078-1233-4b09-9c5f-e148177e404e', 'cf52dc9e-a934-4ce0-bfb0-e677c5649944', 'f723f330-f976-4661-992d-1fd5780f61dd', 'f8a2738a-a149-435a-8387-6265be467c2c']",Solar powered unmanned aerial vehicle for continuous flight: Conceptual overview and optimization,international conference on robotics and automation,2013,4afec1df-a16b-4771-aa7a-cda509b2378b
This work describes the analysis of different walking paths registered using a Light Detection And Ranging (LIDAR) laser range sensor in order to measure oscillating trajectories during unsupervised walking. The estimate of the gait and trajectory parameters were obtained with a terrestrial LIDAR placed 100 mm above the ground with the scanning plane parallel to the floor to measure the trajectory of the legs without attaching any markers or modifying the floor. Three different large walking experiments were performed to test the proposed measurement system with straight and oscillating trajectories. The main advantages of the proposed system are the possibility to measure several steps and obtain average gait parameters and the minimum infrastructure required. This measurement system enables the development of new ambulatory applications based on the analysis of the gait and the trajectory during a walk.,"['Mercè Teixidó', 'Tomàs Pallejà', 'Marcel Tresanchez', 'Miquel Nogués', 'Jordi Palacín']",50,"['14aa584e-19bb-4f4f-a8eb-c342ebacf905', '511f9f11-de64-4b4d-9c6b-b78fa7c20eec', '7a3b5ab9-3f4a-47b0-94b1-52397cd2497a', '8553f82e-487e-4d57-be72-4da7b5c44dfb', '97cb4724-5c14-4202-91c1-a9226990f5f2', 'd0b4a425-fe74-4e90-acff-2920fff181a6', 'd990437d-76c6-4537-9a9d-638d53a6e067']",Measuring Oscillating Walking Paths with a LIDAR,Sensors,2011,4afee73f-9ab6-4d1e-b1b3-ed0069181c36
Recently introduced methods of iterative identification and control design are directed towards the design of high performing and robust control systems. These methods show the necessity of identifying approximate models from closed loop plant experiments. In this paper a method is proposed to approximately identify normalized coprime plant factors from closed loop data. The fact that normalized plant factors are estimated gives specific advantages both from an identification and from a robust control design point of view. It will be shown that the proposed method leads to identified models that are specifically accurate around the bandwidth of the closed loop system. The identification procedure fits very naturally into a recently developed the iterative identification/control design scheme based on H∞ robustness optimization.,"['Paul M. J. Van den Hof', 'Ruud J.P. Schrama', 'Raymond A. de Callafon', 'O.H. Bosgra']",109,"['2c117ef8-31bd-482d-b876-5862b6b9fb11', '498573ac-7288-4f84-9a02-8e5b117aff76', 'a9310742-3948-4aa4-aea9-d839aab5124f', 'ca714044-6362-4d4a-a58a-88b907624473', 'fd9086ae-3cec-4cc1-bd1a-b3ce924b2d3d']",Identification of Normalised Coprime Plant Factors from Closed-loop Experimental Data,European Journal of Control,1995,4aff59e2-04b0-48e3-b328-c14c3e39504e
"Automatic Identification System (AIS) has to be on board in every ship over 500 gross tonnages (GT) in Japan from July 1, 2008. This is a response of amendment of maritime relating laws in accordance with SOLAS (International Convention for the Safety of Life at Sea) Convention and IMO (International Maritime Organization) requires all ships over 500 GT or upward are fitted with ship borne AIS. AIS is a system which makes it possible to get precise on-line information from a large area about ships and their movements. AIS is based on a ship borne radio wave of VHF, it continuously and automatically transmits fixed, dynamic and voyage-related information and receives corresponding information from other ships near by. VTS (Vessel Transport Service) is provided by collection of AIS information from ships. Most of the VTS stations around the area of Gulf of Finland have equipped with coastal surveillance system with radar for early warnings to endangering ships. Combinations of AIS and VTS, in addition, practical lane-separation system have also been activated under international agreement of Russia, Estonia and Finland. These three systems are well combined and organised then significant effects of reducing risks of ship borne accidents have been observed. Practices of Gulf of Finland should be introduced other congested sea lanes.",['Nobuhiro Sawano'],1,,Current Situation of Digitalized Ship Navigation System for Safety,advanced information networking and applications,2008,4aff9c77-4ac9-419b-bd6f-8d5ee372cf1a
"The inference of gene predictors in the gene regulatory network (GRN) has become an important research area in the genomics and medical disciplines. Accurate predicators are necessary for constructing the GRN model and to enable targeted biological experiments that attempt to validate or control the regulation process. In this paper, we implement a SAT-based algorithm to determine the gene predictor set from steady state gene expression data (attractor states). Using the attractor states as input, the states are ordered into attractor cycles. For each attractor cycle ordering, all possible predictors are enumerated and a conjunctive normal form (CNF) expression is generated which encodes these predictors and their biological constraints. Each CNF is solved using a SAT solver to find candidate predictor sets. Statistical analysis of the resulting predictor sets selects the most likely predictor set of the GRN, corresponding to the attractor data. We demonstrate our algorithm on attractor state data from a melanoma study [1] and present our predictor set results.","['Pey-Chang Kent Lin', 'Sunil P. Khatri']",50,"['0a4a2f6d-65cd-4297-ada2-56b925056b28', '33c4c8e3-114c-4e35-ba2a-14d170ee55c5', '4d4ebe56-acba-49f8-aaa6-14ece5133c9f', '81a4d079-b506-4330-a0e2-e097da966e39', '8b48118a-595a-4397-9df0-4f37de6ec335', '9564d44b-a92f-4bf5-8366-4c4bdb9f97ac', 'c47158e0-9844-42df-8b86-94302d9ced3f', 'd7ad3fbf-4ab1-4649-a81e-a22a70de211d', 'f933eeae-ca2d-4163-8643-131ba863a9ae']",Inference of gene predictor set using Boolean satisfiability,international conference on bioinformatics,2010,4affef86-cb31-4f98-bca1-11c70c2b13f7
"This paper develops new multiple sensor-based algorithms for identifying a chemical odor source in a near-shore and ocean environment via an autonomous underwater vehicle (AUV). Those algorithms implement two modules: source declaration and source verification, which are embedded in a subsumption architecture for chemical plume tracing (CPT). The source declaration module is based on chemical events detected by a chemical sensor, in combination with measured vehicle locations and fluid flow directions, while the source verification module uses a fuzzy color segmentation algorithm to process an image taken when the odor source is declared.","['Wei Li', 'Joseph E. Sutton', 'Yunyi Li']",0,"['1191781d-1d00-4773-8f32-fd1dbe3c76c8', '182e49d1-a337-42f6-baee-37fc9712c302', '333de276-5a56-46db-867b-9087ae35afaa', '7240244d-88fa-44d1-88ea-955274adcca6', '8859baf1-a021-4832-9a3f-72e52aa10fc7', '8935a68d-efa8-40e6-b0bf-e37694337df4', '9e7a8683-c22d-42a1-b44a-8e802693bb08', 'd390ae8e-3e44-48f7-b16d-7f9d2bc08c80', 'deab8237-551d-4757-baef-65676fef16a5']",Integration of Chemical and Visual Sensors for Identifying an Odor Source in Near Shore Ocean Conditions,international conference on machine learning and applications,2008,4afff157-8a11-4d3f-a1e8-0ee6871e58df
,['Jerry Berkman'],0,,Web design and maintenance,,1997,4afffa13-511a-4f8b-96ff-9e32de56356c
,"['Junwei Du', 'Yonggang Wang', 'Lijun Zhang', 'Zhonghui Zhou', 'Zizhong Xu', 'Xiaolian Wang']",9,[],Physical Properties of LYSO Scintillator for NN-PET Detectors,biomedical engineering and informatics,2009,4b000235-c417-40f5-8f51-fe25d84f5711
An automated web based tool for assigning HIV-1 pure and recombinant subtypes within unaligned sequences is presented. The system combines the BLAST search algorithm and the recombination identification program for genetic subtyping of HIV-1. The software was validated through combined analysis of simulated and other HIV-1 real data.,"['Luciano Vieira de Araújo', 'Sabri Saeed Sanabani', 'Ester C. Sabino', 'João Eduardo Ferreira']",50,"['594e1c78-0c50-4ab2-a0d1-08b5c5d7e168', '5b306539-4618-48ee-8a2a-953ca8cf28fb']",HIVSetSubtype: software for subtype classification of HIV-1 sequences,acm symposium on applied computing,2009,4b00099c-fd00-49e5-bbf8-33906719c71f
"The widely used procedure of evaluation of cup orientation following THA using single standard anteroposterior radiograph is known inaccurate, largely due to the wide variability in individual pelvic position relative to X-ray plate. 3D-2D image registration methods have been introduced to estimate the transformation between a CT volume and the radiograph for an accurate estimation of the cup orientation relative to an anatomical reference extracted from the CT data. However, the robustness of these methods is questionable. This paper presents a robust image similarity measure which is derived from a variational approximation to mutual information and allows for incorporation of spatial information via energy minimization. Experimental results on estimating cup alignment from single X-ray radiograph with gonadal shielding demonstrate the robustness and the accuracy of the present approach.",['Guoyan Zheng'],0,"['06df6507-9aaf-4f0c-97b0-b863425da947', '3630ebbb-a82a-435e-a5eb-b33d9fad26c9', '4f8d896c-0381-4422-b763-14cca80d2cab', '5c726f07-b308-4bef-9c65-4549abc6c51f', '68493751-3f70-4df5-93b2-76e25b2cbb7c', '8889d9a6-3872-4443-accf-8be84b19a45b', '897b0d64-16f8-4abe-b3a6-19cad2753449', 'b2aa54a8-e00b-47ab-99df-146ee889b029', 'cc85b5a4-5191-44a5-b936-a2fe802f107b']",Robust intensity-based 3D-2D registration of ct and X-ray images for precise estimation of cup alignment after total hip arthroplasty,international conference on pattern recognition,2008,4b000c58-45ba-46e7-adb0-f895d9ed2961
"Shrinkage is a well known and appealing denoising technique. The use of shrinkage is known to be optimal for Gaussian white noise, provided that the sparsity on the signals representation is enforced using a unitary transform. Still, shrinkage is also practiced successfully with nonunitary, and even redundant representations. In this paper we shed some light on this behavior. We show that simple shrinkage could be interpreted as the first iteration of an algorithm that solves the basis pursuit denoising (BPDN) problem. Thus, this work leads to a novel iterative shrinkage algorithm that can be considered as an effective pursuit method. We demonstrate this algorithm, both on synthetic data, and for the image denoising problem, where we learn the image prior parameters directly from the given image. The results in both cases are superior to several popular alternatives.","['Michael Elad', 'Boaz Matalon', 'Michael Zibulevsky']",97,"['31c883b9-75b1-4ea6-b9e2-776cc33a287f', '3d414a5e-b97a-498e-8a75-920997235c6b', '4a4cdb63-5e57-4011-84d0-d18f851962aa', '592f4278-aa82-4c43-9026-c4e180500dcb', '5fedb8b5-e278-447d-931a-c0557216a939', '7bc79cdf-8049-4c00-b2d4-fb87730fe6b0', 'ab0bfa8d-80b6-47ef-8a91-febce2ce65c5', 'aecf8a08-eff7-4182-8bbb-a7b29de2f281', 'b55670f3-3025-457e-9bd8-06930a1b3e74', 'ca40fe4e-f587-49df-b456-c16cf6d14f83', 'cb854215-9174-462a-8b53-ea596b217f5e', 'd11c6a56-fc23-4642-b394-99fd3aec953a', 'e2fdf670-0454-4ed4-9663-67b0502d1a0d']",Image Denoising with Shrinkage and Redundant Representations,computer vision and pattern recognition,2006,4b00142e-0e50-4245-9094-8d0108a68582
